Date,US - SPX,VIX Index (Inverted),High Yield Spread,IG - CCC,US10Y-US02Y
2016-01-20,1859.3299560546875,-27.59,8.27,15.32,1.16
2016-01-21,1868.989990234375,-26.69,8.13,15.259999999999998,1.18
2016-01-22,1906.9000244140625,-22.34,7.87,14.999999999999998,1.19
2016-01-25,1877.0799560546875,-24.15,7.85,15.02,1.15
2016-01-26,1903.6300048828125,-22.5,7.83,14.93,1.16
2016-01-27,1882.949951171875,-23.11,7.78,14.89,1.18
2016-01-28,1893.3599853515625,-22.42,7.75,14.849999999999998,1.17
2016-01-29,1940.239990234375,-20.2,7.74,14.869999999999996,1.18
2016-02-01,1939.3800048828125,-19.98,7.79,15.44,1.16
2016-02-02,1903.030029296875,-21.98,7.98,15.53,1.12
2016-02-03,1912.530029296875,-21.65,8.03,15.57,1.16
2016-02-04,1915.449951171875,-21.84,8.03,15.73,1.17
2016-02-05,1880.050048828125,-23.38,8.1,15.959999999999996,1.12
2016-02-08,1853.43994140625,-26.0,8.51,16.5,1.09
2016-02-09,1852.2099609375,-26.54,8.62,16.74,1.05
2016-02-10,1851.8599853515625,-26.29,8.53,16.66,1.0
2016-02-11,1829.0799560546875,-28.14,8.87,17.23,0.99
2016-02-12,1864.780029296875,-25.4,8.64,17.009999999999998,1.03
2016-02-16,1895.5799560546875,-24.11,8.45,16.64,1.04
2016-02-17,1926.8199462890625,-22.31,8.21,16.39,1.07
2016-02-18,1917.8299560546875,-21.64,8.17,16.41,1.04
2016-02-19,1917.780029296875,-20.53,8.23,16.47,1.0
2016-02-22,1945.5,-19.38,8.09,16.380000000000003,0.99
2016-02-23,1921.27001953125,-20.98,8.1,16.470000000000002,0.98
2016-02-24,1929.800048828125,-20.72,8.17,16.57,1.0
2016-02-25,1951.699951171875,-19.11,8.08,16.41,0.99
2016-02-26,1948.050048828125,-19.81,7.8,16.03,0.96
2016-02-29,1932.22998046875,-20.55,7.75,16.64,0.96
2016-03-01,1978.3499755859373,-17.7,7.46,16.27,0.98
2016-03-02,1986.449951171875,-17.09,7.31,16.099999999999998,0.99
2016-03-03,1993.4000244140625,-16.7,7.28,15.96,0.98
2016-03-04,1999.989990234375,-16.86,7.08,15.66,1.0
2016-03-07,2001.760009765625,-17.35,7.03,15.52,1.0
2016-03-08,1979.260009765625,-18.67,7.14,15.54,0.95
2016-03-09,1989.260009765625,-18.34,7.15,15.54,1.0
2016-03-10,1989.5699462890625,-18.05,7.04,15.4,1.0
