Date,US - SPX,VIX Index (Inverted),High Yield Spread (Inverted),IG - CCC (Inverted),US10Y-US02Y
2024-01-28,100.0,-100.0,-100.0,-100.0,100.0
2024-02-04,101.3829495062599,-104.44947209653093,-102.35988200589972,-105.15463917525774,173.6842105263158
2024-02-11,102.77326670331877,-97.51131221719457,-98.23008849557522,-101.67525773195878,163.1578947368421
2024-02-18,102.34308540721018,-107.39064856711916,-98.52507374631267,-102.70618556701032,178.94736842105263
2024-02-25,104.04479236539514,-103.69532428355959,-95.28023598820059,-99.48453608247422,215.78947368421052
2024-03-03,105.03192316596662,-98.86877828054298,-97.93510324483775,-96.90721649484536,184.21052631578948
2024-03-10,104.75815055786298,-111.16138763197587,-96.16519174041296,-95.4896907216495,205.26315789473685
2024-03-17,104.62320600971957,-108.67269984917046,-93.21533923303835,-94.71649484536083,215.78947368421052
2024-03-24,107.01721633666632,-98.49170437405732,-90.85545722713864,-93.17010309278348,194.73684210526315
2024-03-31,107.429607354992,-98.11463046757164,-92.03539823008849,-94.45876288659794,205.26315789473685
2024-04-07,106.4071056485929,-120.8898944193062,-93.80530973451327,-98.06701030927836,178.94736842105263
2024-04-14,104.75243011500686,-130.54298642533936,-95.87020648967551,-99.74226804123711,200.0
2024-04-21,101.55919505282525,-141.10105580693818,-99.41002949852508,-101.93298969072164,184.21052631578948
2024-04-28,104.27297114710454,-113.34841628959276,-93.21533923303835,-98.45360824742268,152.6315789473684
2024-05-05,104.84198050317335,-101.73453996983409,-90.85545722713864,-101.15979381443299,163.1578947368421
2024-05-12,106.78208916363432,-94.64555052790348,-92.03539823008849,-103.73711340206187,194.73684210526315
2024-05-19,108.42981630589775,-90.42232277526395,-91.1504424778761,-101.03092783505154,215.78947368421052
2024-05-26,108.45946676886923,-89.96983408748115,-91.74041297935102,-101.67525773195878,247.36842105263156
2024-06-02,107.90312624697917,-97.43589743589743,-94.3952802359882,-106.05670103092784,200.0
2024-06-09,109.32371287290323,-92.15686274509804,-92.92035398230087,-103.99484536082475,231.57894736842107
2024-06-16,111.05363269585504,-95.47511312217195,-97.05014749262537,-104.63917525773196,247.36842105263156
2024-06-23,111.72875476940676,-99.5475113122172,-94.69026548672565,-105.15463917525774,236.84210526315786
2024-06-30,111.64410619178537,-93.81598793363499,-93.80530973451327,-104.12371134020617,184.21052631578948
2024-07-07,113.82588110044549,-94.11764705882354,-96.46017699115043,-107.4742268041237,168.42105263157893
2024-07-14,114.81055600408399,-93.96681749622927,-94.10029498525073,-106.31443298969072,142.10526315789474
2024-07-21,112.55435543836911,-124.58521870286576,-91.1504424778761,-103.86597938144331,126.3157894736842
2024-07-28,111.61589332701855,-123.60482654600303,-91.44542772861357,-102.83505154639174,84.21052631578947
2024-08-04,109.31491756722045,-176.395173453997,-109.73451327433628,-111.34020618556701,42.10526315789473
2024-08-11,109.2658495451649,-153.61990950226246,-102.94985250737463,-107.86082474226804,57.89473684210527
2024-08-18,113.56131311418014,-111.61387631975867,-97.05014749262537,-106.44329896907219,89.47368421052632
2024-08-25,115.20433811231577,-119.6078431372549,-94.10029498525073,-104.25257731958763,47.368421052631575
2024-09-01,115.48628706020851,-113.12217194570135,-92.33038348082594,-102.96391752577321,-0.0
2024-09-08,110.57969450439151,-168.77828054298644,-100.0,-102.57731958762888,-31.57894736842105
2024-09-15,115.02871153164409,-124.8868778280543,-99.41002949852508,-100.12886597938144,-47.368421052631575
2024-09-22,116.59342736090814,-121.79487179487178,-92.92035398230087,-92.13917525773196,-94.73684210526315
2024-09-29,117.3217106180704,-127.90346907993968,-92.62536873156341,-90.72164948453607,-105.26315789473684
2024-10-06,117.58545997202474,-144.8717948717949,-85.25073746312685,-85.30927835051547,-26.31578947368421
2024-10-13,118.89317517223974,-154.29864253393666,-87.90560471976401,-85.56701030927836,-68.42105263157895
2024-10-20,119.90810952142257,-135.97285067873304,-84.95575221238938,-82.73195876288662,-68.42105263157895
2024-10-27,118.75190119866738,-153.3182503770739,-85.25073746312685,-82.86082474226805,-73.6842105263158
2024-11-03,117.13013069065512,-165.0075414781297,-83.48082595870207,-79.5103092783505,-84.21052631578947
2024-11-10,122.5838591465239,-112.66968325791855,-77.5811209439528,-78.35051546391753,-21.052631578947366
2024-11-17,120.02976626949355,-121.71945701357467,-80.23598820058997,-78.22164948453609,-63.1578947368421
2024-11-24,122.04817411550522,-114.9321266968326,-76.99115044247787,-76.67525773195877,-21.052631578947366
2024-12-01,123.337080739209,-101.88536953242834,-80.23598820058997,-78.47938144329896,-26.31578947368421
2024-12-08,124.52069327774086,-96.30467571644043,-78.76106194690266,-79.25257731958763,-26.31578947368421
2024-12-15,123.71962162814584,-104.14781297134239,-79.05604719764013,-77.70618556701031,-78.94736842105263
2024-12-22,121.2612188816145,-138.46153846153845,-84.36578171091445,-78.35051546391753,-115.78947368421053
2024-12-29,122.07884287720505,-120.2865761689291,-83.77581120943952,-78.47938144329898,-163.1578947368421
2025-01-05,121.4988019515795,-121.64404223227751,-82.89085545722715,-78.8659793814433,-168.42105263157893
2025-01-12,119.13873491557653,-147.36048265460028,-82.89085545722715,-78.60824742268042,-194.73684210526315
2025-01-19,122.6067608845901,-120.4374057315234,-77.87610619469027,-75.25773195876289,-178.94736842105263
2025-01-26,124.74498854763347,-111.99095022624435,-76.69616519174042,-73.84020618556701,-189.4736842105263
2025-02-02,123.50371234778056,-123.90648567119156,-79.05604719764013,-73.19587628865979,-189.4736842105263
2025-02-09,123.20643900235876,-124.73604826546003,-78.76106194690266,-75.25773195876289,-105.26315789473684
2025-02-16,125.01875117241626,-111.38763197586728,-77.28613569321534,-74.99999999999999,-110.52631578947367
2025-02-23,122.94349829739456,-137.33031674208144,-82.00589970501474,-78.47938144329896,-121.05263157894737
2025-03-02,121.74476102775094,-148.0392156862745,-84.66076696165192,-81.44329896907216,-131.57894736842107
2025-03-09,117.97659650022707,-176.24434389140274,-87.61061946902655,-85.18041237113403,-173.6842105263158
2025-03-16,115.29287020175394,-164.17797888386124,-95.87020648967551,-92.52577319587627,-152.6315789473684
2025-03-23,115.87803257098366,-145.39969834087483,-94.69026548672565,-93.04123711340208,-163.1578947368421
2025-03-30,114.10701141602723,-163.27300150829564,-102.35988200589972,-96.1340206185567,-200.0
2025-04-06,103.74383517457385,-341.70437405731525,-131.26843657817108,-120.23195876288662,-173.6842105263158
2025-04-13,109.65840370493017,-283.2579185520362,-125.66371681415929,-116.10824742268042,-273.6842105263158
2025-04-20,108.00924894778294,-223.604826546003,-118.58407079646017,-111.46907216494843,-278.94736842105266
2025-04-27,112.9675650890058,-187.33031674208144,-108.25958702064895,-104.51030927835052,-289.4736842105263
2025-05-04,116.26874979970962,-171.04072398190044,-106.19469026548674,-101.5463917525773,-263.15789473684214
2025-05-11,115.7216238829787,-165.15837104072398,-104.12979351032448,-99.48453608247422,-257.89473684210526
2025-05-18,121.82408849535082,-130.01508295625942,-93.21533923303835,-93.94329896907217,-236.84210526315786
2025-05-25,118.64353225066881,-168.0995475113122,-100.29498525073745,-97.9381443298969,-268.42105263157896
2025-06-01,120.86947337083933,-140.0452488687783,-97.6401179941003,-95.8762886597938,-273.6842105263158
2025-06-08,122.6824045067905,-126.47058823529412,-91.1504424778761,-99.74226804123711,-247.36842105263156
2025-06-15,122.20418347067555,-157.01357466063348,-93.80530973451327,-101.03092783505154,-236.84210526315786
2025-06-22,122.0175053538054,-155.5052790346908,-92.33038348082594,-99.0979381443299,-252.6315789473684
2025-06-29,126.21360493024305,-123.07692307692308,-89.08554572271386,-95.36082474226805,-294.7368421052632
2025-07-06,128.3865945165412,-123.52941176470588,-82.59587020648966,-94.07216494845362,-247.36842105263156
2025-07-13,127.98585403366596,-123.68024132730014,-87.61061946902655,-93.17010309278352,-278.94736842105266
2025-07-20,128.74316878790603,-123.7556561085973,-86.4306784660767,-92.39690721649487,-294.7368421052632
2025-07-27,130.62112129265634,-112.59426847662142,-83.77581120943952,-90.59278350515463,-257.89473684210526
